id,name,code,media_type_id/id,source_id/id,system
application_cellml_xml,application/cellml+xml,application_cellml_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_cfw,application/cfw,application_cfw,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_cms,application/cms,application_cms,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_cnrp_xml,application/cnrp+xml,application_cnrp_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_coap_group_json,application/coap-group+json,application_coap_group_json,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_commonground,application/commonground,application_commonground,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_conference_info_xml,application/conference-info+xml,application_conference_info_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_cpl_xml,application/cpl+xml,application_cpl_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_csrattrs,application/csrattrs,application_csrattrs,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_csta_xml,application/csta+xml,application_csta_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_cstadata_xml,application/CSTAdata+xml,application_cstadata_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_cybercash,application/cybercash,application_cybercash,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dash_xml,application/dash+xml,application_dash_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dashdelta,application/dashdelta,application_dashdelta,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_davmount_xml,application/davmount+xml,application_davmount_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dca_rft,application/dca-rft,application_dca_rft,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
